ticker,date,open,high,low,close
APO,2011-03-30,18.7,19.0,18.15,18.2
APO,2011-03-31,18.05,18.59,17.91,18.0
APO,2011-04-01,18.01,18.23,17.89,18.0
APO,2011-04-04,18.07,18.16,17.8,17.88
APO,2011-04-05,7.30802,7.36891,7.21363,7.34883
APO,2011-04-06,7.37562,7.41673,7.30802,7.39978
APO,2011-04-07,7.49468,7.49993,7.35829,7.3611
APO,2011-04-08,7.3611,7.41673,7.30802,7.35829
APO,2011-04-11,7.33246,7.39978,7.31552,7.3802
APO,2011-04-12,7.39978,7.49349,7.30471,7.43866
APO,2011-04-13,7.5085,7.5085,7.3611,7.39978
APO,2011-04-14,7.3611,7.46816,7.35829,7.45892
APO,2011-04-15,7.47275,7.63943,7.44264,7.5615
APO,2011-04-18,7.5615,7.59968,7.34085,7.43232
APO,2011-04-19,7.45892,7.48795,7.39063,7.44012
APO,2011-04-20,7.51619,7.51619,7.39978,7.45015
APO,2011-04-21,7.48074,7.49993,7.28591,7.4029
APO,2011-04-25,7.42774,7.45892,7.37339,7.3802
APO,2011-04-26,7.44264,7.45424,7.31552,7.43232
APO,2011-04-27,7.39978,7.44012,7.37339,7.43232
APO,2011-04-28,7.4029,7.46816,7.301,7.4029
APO,2011-04-29,7.43456,7.43866,7.32916,7.39063
APO,2011-05-02,7.38517,7.48074,7.3278,7.43709
APO,2011-05-03,7.37047,7.4971,7.36676,7.46641
APO,2011-05-04,7.45171,7.49349,7.25366,7.34981
APO,2011-05-05,7.3162,7.39746,7.23438,7.33325
APO,2011-05-06,7.42999,7.42999,7.32108,7.34425
APO,2011-05-09,7.49468,7.58546,7.48074,7.5615
APO,2011-05-10,7.60202,7.66719,7.55135,7.64878
APO,2011-05-11,7.66719,7.66719,7.51142,7.55135
APO,2011-05-12,7.68336,7.72905,7.37339,7.52944
APO,2011-05-13,7.62238,7.62238,7.38185,7.46641
APO,2011-05-16,7.52788,7.56091,7.18752,7.28591
APO,2011-05-17,7.301,7.3162,6.86478,7.0222
APO,2011-05-18,7.1014,7.43456,7.0222,7.29653
APO,2011-05-19,7.33861,7.44791,7.19649,7.35449
APO,2011-05-20,7.34981,7.48239,7.34981,7.38663
APO,2011-05-23,7.20525,7.44479,7.19268,7.2828
APO,2011-05-24,7.3162,7.43866,7.25366,7.2712
APO,2011-05-25,7.2828,7.32857,7.14242,7.18752
APO,2011-05-26,7.16804,7.43866,7.16804,7.34425
APO,2011-05-27,7.38185,7.65209,7.36676,7.52788
APO,2011-05-31,7.47118,7.52507,7.4068,7.4558
APO,2011-06-01,7.36676,7.49018,7.32108,7.41838
APO,2011-06-02,7.42999,7.42999,7.32857,7.39286
APO,2011-06-03,7.26769,7.43866,7.26769,7.38663
APO,2011-06-06,7.38663,7.40359,7.17096,7.20164
APO,2011-06-07,7.22112,7.22931,6.97242,7.00243
APO,2011-06-08,7.00983,7.05532,6.9281,6.93238
APO,2011-06-09,6.89118,7.01499,6.70813,6.74232
APO,2011-06-10,6.79912,6.81568,6.40614,6.47229
