ticker,date,open,high,low,close
BA,1962-01-02,0.84,0.84,0.82,0.82
BA,1962-01-03,0.84,0.85,0.84,0.84
BA,1962-01-04,0.84,0.85,0.83,0.83
BA,1962-01-05,0.83,0.84,0.79,0.81
BA,1962-01-08,0.81,0.83,0.8,0.82
BA,1962-01-09,0.82,0.84,0.81,0.82
BA,1962-01-10,0.82,0.83,0.82,0.82
BA,1962-01-11,0.82,0.85,0.82,0.83
BA,1962-01-12,0.84,0.86,0.84,0.85
BA,1962-01-15,0.85,0.85,0.83,0.83
BA,1962-01-16,0.83,0.84,0.83,0.83
BA,1962-01-17,0.83,0.85,0.83,0.83
BA,1962-01-18,0.83,0.84,0.83,0.83
BA,1962-01-19,0.84,0.87,0.84,0.87
BA,1962-01-22,0.87,0.88,0.86,0.87
BA,1962-01-23,0.86,0.87,0.86,0.87
BA,1962-01-24,0.87,0.88,0.86,0.88
BA,1962-01-25,0.88,0.9,0.88,0.9
BA,1962-01-26,0.9,0.9,0.89,0.89
BA,1962-01-29,0.89,0.9,0.88,0.9
BA,1962-01-30,0.9,0.91,0.89,0.91
BA,1962-01-31,0.91,0.93,0.91,0.92
BA,1962-02-01,0.92,0.93,0.9,0.9
BA,1962-02-02,0.9,0.91,0.88,0.91
BA,1962-02-05,0.91,0.91,0.89,0.9
BA,1962-02-06,0.9,0.9,0.87,0.9
BA,1962-02-07,0.9,0.91,0.89,0.9
BA,1962-02-08,0.9,0.91,0.9,0.9
BA,1962-02-09,0.9,0.91,0.9,0.91
BA,1962-02-12,0.91,0.91,0.9,0.9
BA,1962-02-13,0.9,0.92,0.9,0.91
BA,1962-02-14,0.91,0.92,0.9,0.91
BA,1962-02-15,0.91,0.93,0.91,0.92
BA,1962-02-16,0.92,0.92,0.91,0.91
BA,1962-02-19,0.91,0.92,0.9,0.9
BA,1962-02-20,0.9,0.92,0.9,0.9
BA,1962-02-21,0.9,0.9,0.88,0.89
BA,1962-02-23,0.88,0.88,0.84,0.86
BA,1962-02-26,0.86,0.87,0.85,0.86
BA,1962-02-27,0.86,0.89,0.86,0.87
BA,1962-02-28,0.87,0.88,0.87,0.88
BA,1962-03-01,0.88,0.89,0.85,0.87
BA,1962-03-02,0.87,0.88,0.86,0.86
BA,1962-03-05,0.86,0.86,0.85,0.86
BA,1962-03-06,0.86,0.86,0.83,0.83
BA,1962-03-07,0.83,0.84,0.83,0.83
BA,1962-03-08,0.83,0.86,0.83,0.85
BA,1962-03-09,0.85,0.86,0.84,0.84
BA,1962-03-12,0.85,0.85,0.85,0.85
BA,1962-03-13,0.85,0.85,0.84,0.85
BA,1962-03-14,0.85,0.86,0.84,0.85
BA,1962-03-15,0.85,0.86,0.84,0.84
BA,1962-03-16,0.84,0.85,0.83,0.83
BA,1962-03-19,0.83,0.84,0.82,0.82
BA,1962-03-20,0.82,0.83,0.82,0.82
BA,1962-03-21,0.82,0.82,0.82,0.82
BA,1962-03-22,0.82,0.83,0.82,0.83
BA,1962-03-23,0.83,0.84,0.83,0.83
BA,1962-03-26,0.83,0.83,0.83,0.83
BA,1962-03-27,0.83,0.84,0.83,0.83
BA,1962-03-28,0.83,0.84,0.83,0.84
BA,1962-03-29,0.84,0.85,0.84,0.84
BA,1962-03-30,0.84,0.84,0.83,0.83
BA,1962-04-02,0.83,0.83,0.82,0.83
BA,1962-04-03,0.82,0.82,0.79,0.81
BA,1962-04-04,0.81,0.81,0.79,0.79
BA,1962-04-05,0.79,0.8,0.77,0.8
BA,1962-04-06,0.8,0.81,0.79,0.79
BA,1962-04-09,0.79,0.8,0.78,0.78
BA,1962-04-10,0.78,0.78,0.77,0.77
BA,1962-04-11,0.79,0.8,0.79,0.8
BA,1962-04-12,0.79,0.79,0.77,0.77
BA,1962-04-13,0.77,0.79,0.76,0.78
BA,1962-04-16,0.78,0.79,0.77,0.77
BA,1962-04-17,0.77,0.77,0.77,0.77
BA,1962-04-18,0.77,0.79,0.77,0.78
BA,1962-04-19,0.78,0.8,0.78,0.8
BA,1962-04-23,0.8,0.81,0.8,0.81
BA,1962-04-24,0.81,0.82,0.81,0.81
BA,1962-04-25,0.81,0.81,0.79,0.8
BA,1962-04-26,0.8,0.8,0.77,0.77
BA,1962-04-27,0.77,0.78,0.76,0.76
BA,1962-04-30,0.76,0.78,0.74,0.74
BA,1962-05-01,0.74,0.77,0.73,0.77
BA,1962-05-02,0.77,0.78,0.77,0.78
BA,1962-05-03,0.78,0.78,0.78,0.78
BA,1962-05-04,0.78,0.78,0.77,0.77
BA,1962-05-07,0.78,0.78,0.78,0.78
BA,1962-05-08,0.77,0.77,0.74,0.74
BA,1962-05-09,0.74,0.74,0.74,0.74
BA,1962-05-10,0.74,0.74,0.73,0.74
BA,1962-05-11,0.74,0.75,0.73,0.73
BA,1962-05-14,0.73,0.73,0.69,0.73
BA,1962-05-15,0.75,0.77,0.75,0.75
BA,1962-05-16,0.75,0.76,0.74,0.74
BA,1962-05-17,0.74,0.75,0.73,0.74
BA,1962-05-18,0.74,0.74,0.73,0.74
BA,1962-05-21,0.74,0.74,0.73,0.73
BA,1962-05-22,0.73,0.73,0.71,0.71
BA,1962-05-23,0.71,0.71,0.68,0.69
BA,1962-05-24,0.68,0.68,0.65,0.66
BA,1962-05-25,0.66,0.67,0.65,0.66
BA,1962-05-28,0.66,0.67,0.58,0.59
BA,1962-05-29,0.59,0.75,0.58,0.67
BA,1962-05-31,0.69,0.75,0.69,0.71
BA,1962-06-01,0.71,0.72,0.69,0.72
BA,1962-06-04,0.7,0.7,0.66,0.66
BA,1962-06-05,0.66,0.7,0.66,0.7
BA,1962-06-06,0.7,0.72,0.7,0.71
BA,1962-06-07,0.71,0.71,0.7,0.7
BA,1962-06-08,0.7,0.7,0.7,0.7
BA,1962-06-11,0.69,0.69,0.67,0.68
BA,1962-06-12,0.68,0.68,0.67,0.67
BA,1962-06-13,0.67,0.67,0.65,0.65
BA,1962-06-14,0.65,0.66,0.63,0.63
BA,1962-06-15,0.63,0.67,0.62,0.67
BA,1962-06-18,0.67,0.69,0.65,0.67
BA,1962-06-19,0.67,0.68,0.66,0.67
BA,1962-06-20,0.67,0.69,0.67,0.67
BA,1962-06-21,0.66,0.66,0.65,0.65
BA,1962-06-22,0.64,0.64,0.62,0.62
BA,1962-06-25,0.62,0.64,0.6,0.63
BA,1962-06-26,0.63,0.65,0.63,0.63
BA,1962-06-27,0.63,0.64,0.63,0.64
BA,1962-06-28,0.64,0.67,0.64,0.66
BA,1962-06-29,0.66,0.68,0.66,0.67
BA,1962-07-02,0.67,0.68,0.67,0.68
BA,1962-07-03,0.68,0.69,0.67,0.69
BA,1962-07-05,0.69,0.7,0.68,0.69
BA,1962-07-06,0.69,0.69,0.66,0.66
BA,1962-07-09,0.66,0.68,0.66,0.66
BA,1962-07-10,0.68,0.7,0.68,0.68
BA,1962-07-11,0.68,0.69,0.68,0.69
BA,1962-07-12,0.69,0.69,0.68,0.68
BA,1962-07-13,0.68,0.69,0.68,0.68
BA,1962-07-16,0.68,0.68,0.66,0.66
BA,1962-07-17,0.66,0.67,0.64,0.65
BA,1962-07-18,0.65,0.65,0.64,0.64
BA,1962-07-19,0.64,0.65,0.64,0.65
BA,1962-07-20,0.65,0.66,0.65,0.66
BA,1962-07-23,0.66,0.67,0.65,0.65
BA,1962-07-24,0.65,0.65,0.64,0.65
BA,1962-07-25,0.65,0.65,0.65,0.65
BA,1962-07-26,0.65,0.66,0.63,0.65
BA,1962-07-27,0.65,0.66,0.65,0.65
BA,1962-07-30,0.66,0.67,0.66,0.67
BA,1962-07-31,0.67,0.69,0.67,0.67
BA,1962-08-01,0.67,0.69,0.67,0.67
BA,1962-08-02,0.67,0.69,0.67,0.67
BA,1962-08-03,0.67,0.68,0.67,0.67
BA,1962-08-06,0.67,0.67,0.64,0.64
BA,1962-08-07,0.64,0.64,0.63,0.63
BA,1962-08-08,0.63,0.65,0.63,0.65
BA,1962-08-09,0.65,0.65,0.64,0.64
BA,1962-08-10,0.64,0.65,0.63,0.64
BA,1962-08-13,0.64,0.65,0.64,0.64
BA,1962-08-14,0.64,0.66,0.64,0.66
BA,1962-08-15,0.66,0.67,0.65,0.66
BA,1962-08-16,0.66,0.7,0.66,0.69
BA,1962-08-17,0.69,0.73,0.69,0.72
BA,1962-08-20,0.72,0.72,0.69,0.69
BA,1962-08-21,0.69,0.71,0.69,0.71
BA,1962-08-22,0.71,0.71,0.69,0.71
BA,1962-08-23,0.71,0.73,0.7,0.7
BA,1962-08-24,0.7,0.7,0.69,0.69
BA,1962-08-27,0.69,0.69,0.67,0.68
BA,1962-08-28,0.68,0.68,0.66,0.67
BA,1962-08-29,0.67,0.67,0.66,0.67
BA,1962-08-30,0.67,0.67,0.65,0.65
BA,1962-08-31,0.65,0.67,0.65,0.67
BA,1962-09-04,0.67,0.67,0.65,0.65
BA,1962-09-05,0.65,0.66,0.65,0.65
BA,1962-09-06,0.65,0.66,0.65,0.66
BA,1962-09-07,0.66,0.66,0.65,0.65
BA,1962-09-10,0.65,0.66,0.65,0.66
BA,1962-09-11,0.66,0.69,0.66,0.68
BA,1962-09-12,0.68,0.68,0.67,0.67
BA,1962-09-13,0.67,0.68,0.67,0.67
BA,1962-09-14,0.67,0.68,0.66,0.68
BA,1962-09-17,0.68,0.69,0.67,0.67
BA,1962-09-18,0.67,0.68,0.66,0.66
BA,1962-09-19,0.66,0.67,0.66,0.66
BA,1962-09-20,0.66,0.66,0.64,0.65
BA,1962-09-21,0.65,0.66,0.64,0.64
BA,1962-09-24,0.64,0.64,0.61,0.62
BA,1962-09-25,0.64,0.64,0.61,0.63
BA,1962-09-26,0.63,0.65,0.62,0.63
BA,1962-09-27,0.63,0.64,0.62,0.63
BA,1962-09-28,0.63,0.63,0.62,0.63
BA,1962-10-01,0.63,0.63,0.6,0.6
BA,1962-10-02,0.61,0.62,0.61,0.62
BA,1962-10-03,0.62,0.62,0.61,0.61
BA,1962-10-04,0.61,0.63,0.61,0.63
BA,1962-10-05,0.63,0.64,0.63,0.64
BA,1962-10-08,0.64,0.65,0.64,0.65
BA,1962-10-09,0.65,0.65,0.64,0.65
BA,1962-10-10,0.65,0.65,0.64,0.64
BA,1962-10-11,0.64,0.64,0.63,0.63
BA,1962-10-12,0.63,0.64,0.63,0.63
BA,1962-10-15,0.63,0.64,0.63,0.64
BA,1962-10-16,0.64,0.65,0.64,0.64
BA,1962-10-17,0.63,0.64,0.63,0.63
BA,1962-10-18,0.63,0.63,0.62,0.62
BA,1962-10-19,0.62,0.62,0.6,0.61
BA,1962-10-22,0.61,0.62,0.6,0.61
BA,1962-10-23,0.61,0.66,0.61,0.62
BA,1962-10-24,0.62,0.64,0.62,0.64
BA,1962-10-25,0.64,0.64,0.63,0.63
BA,1962-10-26,0.63,0.63,0.62,0.62
BA,1962-10-29,0.62,0.63,0.62,0.62
BA,1962-10-30,0.62,0.63,0.6,0.63
BA,1962-10-31,0.63,0.64,0.62,0.63
BA,1962-11-01,0.63,0.63,0.62,0.63
BA,1962-11-02,0.63,0.65,0.63,0.64
BA,1962-11-05,0.64,0.65,0.63,0.63
BA,1962-11-07,0.63,0.63,0.62,0.63
