ticker,date,open,high,low,close
ETN,1972-06-01,0.0,2.28,2.25,2.27
ETN,1972-06-02,2.27,2.27,2.24,2.25
ETN,1972-06-05,2.24,2.24,2.2,2.21
ETN,1972-06-06,2.21,2.22,2.18,2.19
ETN,1972-06-07,2.19,2.19,2.18,2.18
ETN,1972-06-08,2.18,2.19,2.18,2.18
ETN,1972-06-09,2.18,2.18,2.16,2.16
ETN,1972-06-12,2.16,2.16,2.13,2.13
ETN,1972-06-13,2.13,2.17,2.11,2.17
ETN,1972-06-14,2.17,2.18,2.16,2.18
ETN,1972-06-15,2.19,2.21,2.19,2.21
ETN,1972-06-16,2.22,2.25,2.22,2.25
ETN,1972-06-19,2.24,2.24,2.23,2.23
ETN,1972-06-20,2.23,2.27,2.22,2.25
ETN,1972-06-21,2.28,2.31,2.28,2.28
ETN,1972-06-22,2.28,2.28,2.28,2.28
ETN,1972-06-23,2.28,2.3,2.28,2.28
ETN,1972-06-26,2.28,2.28,2.22,2.22
ETN,1972-06-27,2.23,2.26,2.23,2.24
ETN,1972-06-28,2.22,2.22,2.2,2.2
ETN,1972-06-29,2.2,2.21,2.16,2.17
ETN,1972-06-30,2.17,2.2,2.16,2.19
ETN,1972-07-03,2.19,2.2,2.18,2.19
ETN,1972-07-05,2.19,2.22,2.19,2.2
ETN,1972-07-06,2.22,2.25,2.22,2.25
ETN,1972-07-07,2.24,2.24,2.19,2.21
ETN,1972-07-10,2.21,2.22,2.19,2.21
ETN,1972-07-11,2.19,2.19,2.18,2.18
ETN,1972-07-12,2.18,2.21,2.16,2.21
ETN,1972-07-13,2.19,2.19,2.17,2.17
ETN,1972-07-14,2.17,2.19,2.17,2.19
ETN,1972-07-17,2.19,2.21,2.19,2.19
ETN,1972-07-18,2.19,2.19,2.17,2.17
ETN,1972-07-19,2.17,2.21,2.17,2.21
ETN,1972-07-20,2.2,2.2,2.18,2.18
ETN,1972-07-21,2.17,2.17,2.16,2.17
ETN,1972-07-24,2.18,2.21,2.18,2.19
ETN,1972-07-25,2.19,2.21,2.17,2.17
ETN,1972-07-26,2.18,2.2,2.18,2.18
ETN,1972-07-27,2.18,2.18,2.13,2.15
ETN,1972-07-28,2.13,2.13,2.1,2.1
