ticker,date,open,high,low,close
FI,1990-03-26,0.4875,0.4875,0.4775,0.4825
FI,1990-03-27,0.4775,0.4825,0.4775,0.4825
FI,1990-03-28,0.4775,0.4875,0.4775,0.4775
FI,1990-03-29,0.4775,0.4825,0.4775,0.4825
FI,1990-03-30,0.4875,0.4875,0.4775,0.4825
FI,1990-04-02,0.4825,0.4825,0.4825,0.4825
FI,1990-04-03,0.4875,0.4875,0.4775,0.4825
FI,1990-04-04,0.4875,0.4875,0.485,0.4875
FI,1990-04-05,0.4825,0.4875,0.4825,0.4875
FI,1990-04-06,0.4875,0.4875,0.475,0.4825
FI,1990-04-09,0.4875,0.4875,0.4775,0.4775
FI,1990-04-10,0.4775,0.4825,0.4725,0.4825
FI,1990-04-11,0.4825,0.4825,0.4725,0.4725
FI,1990-04-12,0.4825,0.4825,0.4725,0.4825
FI,1990-04-16,0.4825,0.4875,0.4775,0.4825
FI,1990-04-17,0.4825,0.4825,0.4775,0.4825
FI,1990-04-18,0.4825,0.4875,0.4825,0.4875
FI,1990-04-19,0.4875,0.5,0.4825,0.4875
FI,1990-04-20,0.4875,0.495,0.4875,0.4875
FI,1990-04-23,0.4875,0.4875,0.4825,0.4825
FI,1990-04-24,0.4825,0.4875,0.4775,0.485
FI,1990-04-25,0.4775,0.4875,0.4775,0.4825
FI,1990-04-26,0.4875,0.4875,0.4825,0.4875
FI,1990-04-27,0.4825,0.4875,0.4825,0.4875
FI,1990-04-30,0.4825,0.4875,0.4825,0.4875
FI,1990-05-01,0.4875,0.4875,0.4825,0.4825
FI,1990-05-02,0.4875,0.5,0.4825,0.4875
FI,1990-05-03,0.5,0.51,0.495,0.5
FI,1990-05-04,0.51,0.51,0.5,0.505
FI,1990-05-07,0.5,0.51,0.5,0.5
FI,1990-05-08,0.5,0.5075,0.5,0.5075
FI,1990-05-09,0.5,0.515,0.5,0.515
FI,1990-05-10,0.515,0.515,0.505,0.505
FI,1990-05-11,0.505,0.5225,0.505,0.5225
FI,1990-05-14,0.5225,0.5225,0.51,0.51
FI,1990-05-15,0.51,0.5225,0.51,0.515
FI,1990-05-16,0.5225,0.5225,0.51,0.5225
FI,1990-05-17,0.51,0.5225,0.51,0.5225
FI,1990-05-18,0.51,0.515,0.51,0.51
FI,1990-05-21,0.51,0.5225,0.51,0.5125
FI,1990-05-22,0.51,0.5225,0.51,0.5175
FI,1990-05-23,0.515,0.5275,0.515,0.5225
FI,1990-05-24,0.525,0.5275,0.5225,0.5275
FI,1990-05-25,0.5225,0.5225,0.515,0.515
FI,1990-05-29,0.5275,0.5375,0.5225,0.5375
FI,1990-05-30,0.5375,0.5375,0.5225,0.5325
FI,1990-05-31,0.5275,0.53,0.5225,0.5225
FI,1990-06-01,0.5275,0.5375,0.5225,0.5275
FI,1990-06-04,0.5375,0.5375,0.5225,0.5275
FI,1990-06-05,0.5325,0.5375,0.5225,0.525
FI,1990-06-06,0.5325,0.5325,0.5225,0.525
FI,1990-06-07,0.5325,0.5325,0.5275,0.53
FI,1990-06-08,0.5225,0.5325,0.5225,0.5325
FI,1990-06-11,0.5225,0.5425,0.5225,0.5275
FI,1990-06-12,0.5375,0.5375,0.5325,0.5375
FI,1990-06-13,0.5325,0.5475,0.5325,0.535
FI,1990-06-14,0.5475,0.555,0.5325,0.5475
FI,1990-06-15,0.56,0.5875,0.56,0.5825
FI,1990-06-18,0.63,0.665,0.625,0.645
FI,1990-06-19,0.6525,0.6525,0.615,0.6375
FI,1990-06-20,0.625,0.6375,0.625,0.6375
FI,1990-06-21,0.6375,0.6375,0.62,0.625
FI,1990-06-22,0.62,0.63,0.62,0.62
FI,1990-06-25,0.63,0.63,0.61,0.61
FI,1990-06-26,0.6425,0.6575,0.62,0.655
FI,1990-06-27,0.65,0.6575,0.625,0.6325
FI,1990-06-28,0.6375,0.6425,0.63,0.6425
FI,1990-06-29,0.6425,0.6425,0.51,0.5375
FI,1990-07-02,0.5375,0.555,0.5375,0.555
FI,1990-07-03,0.555,0.555,0.545,0.555
FI,1990-07-05,0.555,0.57,0.545,0.5625
FI,1990-07-06,0.57,0.57,0.56,0.5675
FI,1990-07-09,0.565,0.57,0.56,0.5675
FI,1990-07-10,0.575,0.5825,0.5675,0.5725
FI,1990-07-11,0.5725,0.59,0.5725,0.585
FI,1990-07-12,0.5925,0.5975,0.5875,0.5975
FI,1990-07-13,0.6,0.6025,0.5925,0.6
FI,1990-07-16,0.5925,0.5925,0.5925,0.5925
FI,1990-07-17,0.5925,0.5975,0.5925,0.5925
FI,1990-07-18,0.5925,0.5925,0.5875,0.5875
FI,1990-07-19,0.5875,0.5875,0.585,0.585
FI,1990-07-20,0.58,0.5875,0.58,0.5825
FI,1990-07-23,0.58,0.5825,0.5625,0.57
FI,1990-07-24,0.57,0.57,0.56,0.57
FI,1990-07-25,0.57,0.57,0.5575,0.5575
FI,1990-07-26,0.555,0.565,0.555,0.565
FI,1990-07-27,0.555,0.5625,0.555,0.5625
FI,1990-07-30,0.555,0.555,0.555,0.555
FI,1990-07-31,0.555,0.56,0.5475,0.5475
FI,1990-08-01,0.555,0.5575,0.5475,0.555
FI,1990-08-02,0.5475,0.5475,0.53,0.53
FI,1990-08-03,0.53,0.5325,0.505,0.505
FI,1990-08-06,0.505,0.5075,0.5,0.5
FI,1990-08-07,0.515,0.5225,0.5075,0.5225
FI,1990-08-08,0.5325,0.5375,0.5225,0.5325
