ticker,date,open,high,low,close
GEV,2024-04-03,142.3,144.0,135.8,137.34
GEV,2024-04-04,136.0,139.35,125.26,126.06
GEV,2024-04-05,125.5,128.18,119.0,122.7
GEV,2024-04-08,126.13,131.95,125.86,129.96
GEV,2024-04-09,130.87,133.6,128.25,132.17
GEV,2024-04-10,129.5,139.93,128.94,138.37
GEV,2024-04-11,139.2,139.32,136.41,136.57
GEV,2024-04-12,135.0,138.11,133.555,134.0
GEV,2024-04-15,134.6,135.32,129.85,131.75
GEV,2024-04-16,132.5,133.05,128.25,130.07
GEV,2024-04-17,132.04,138.18,131.25,134.75
GEV,2024-04-18,138.15,138.41,135.43,137.22
GEV,2024-04-19,137.25,140.59,134.905,135.07
GEV,2024-04-22,135.52,137.14,132.11,136.69
GEV,2024-04-23,138.46,148.35,137.87,147.83
GEV,2024-04-24,147.0,149.9,144.35,146.18
GEV,2024-04-25,143.0,152.14,138.673,148.31
GEV,2024-04-26,153.64,157.25,150.2,153.07
GEV,2024-04-29,153.58,159.55,153.58,159.01
GEV,2024-04-30,158.14,163.1,152.25,153.71
GEV,2024-05-01,154.19,156.7,149.421,151.67
GEV,2024-05-02,153.53,155.44,151.659,153.83
GEV,2024-05-03,155.63,167.17,155.14,166.26
GEV,2024-05-06,167.16,171.17,164.51,169.14
GEV,2024-05-07,168.66,173.5,167.165,167.36
GEV,2024-05-08,167.0,167.01,163.225,164.0
GEV,2024-05-09,165.0,168.72,164.65,166.4
GEV,2024-05-10,169.0,170.8,165.99,167.27
GEV,2024-05-13,165.0,167.55,160.18,161.53
GEV,2024-05-14,160.69,166.555,158.86,165.63
GEV,2024-05-15,168.36,172.35,166.956,167.87
GEV,2024-05-16,168.03,170.0,166.35,166.4
GEV,2024-05-17,166.88,167.64,160.94,162.62
GEV,2024-05-20,163.06,164.3,160.21,160.95
GEV,2024-05-21,160.24,164.49,159.07,163.93
GEV,2024-05-22,164.29,167.36,163.0,163.85
GEV,2024-05-23,166.42,170.0,161.44,161.67
GEV,2024-05-24,162.81,177.77,162.09,177.43
GEV,2024-05-28,178.34,182.78,176.78,178.09
GEV,2024-05-29,176.0,178.69,174.096,177.32
GEV,2024-05-30,176.97,177.81,174.5,175.08
GEV,2024-05-31,177.1,179.765,165.4,175.9
GEV,2024-06-03,178.93,179.0,166.44,170.37
GEV,2024-06-04,168.35,169.41,161.33,163.04
GEV,2024-06-05,165.09,168.3,162.47,163.49
GEV,2024-06-06,163.25,164.13,155.5,160.31
GEV,2024-06-07,159.5,165.76,159.04,162.08
GEV,2024-06-10,161.0,170.0,160.598,166.64
GEV,2024-06-11,165.5,168.54,163.3,168.23
GEV,2024-06-12,171.54,179.22,171.54,177.52
GEV,2024-06-13,179.8,181.96,172.84,176.17
GEV,2024-06-14,174.09,174.78,166.2,170.17
GEV,2024-06-17,170.5,171.88,166.15,168.76
GEV,2024-06-18,167.94,180.25,166.4,179.57
GEV,2024-06-20,177.8,185.5,175.095,177.18
GEV,2024-06-21,177.1,177.18,170.4,175.73
GEV,2024-06-24,176.0,179.15,174.77,178.03
GEV,2024-06-25,179.8,181.5,176.27,181.45
GEV,2024-06-26,180.89,181.725,177.62,179.87
GEV,2024-06-27,178.39,179.19,173.25,176.28
GEV,2024-06-28,174.8,176.3,167.175,171.51
GEV,2024-07-01,171.0,171.2,165.12,167.52
GEV,2024-07-02,165.41,171.86,165.41,169.81
GEV,2024-07-03,170.1,174.78,169.18,172.68
GEV,2024-07-05,171.5,177.44,171.5,176.23
GEV,2024-07-08,176.81,178.6,174.17,174.57
GEV,2024-07-09,174.28,174.83,172.6,173.07
