ticker,date,open,high,low,close
SAP,1995-09-18,13.25,13.25,13.25,13.25
SAP,1995-09-19,13.38,13.38,13.38,13.38
SAP,1995-09-20,13.62,13.62,13.62,13.62
SAP,1995-09-21,13.75,13.75,13.75,13.75
SAP,1995-09-22,12.88,12.88,12.88,12.88
SAP,1995-09-25,13.5,13.5,13.5,13.5
SAP,1995-09-26,14.0,14.0,14.0,14.0
SAP,1995-09-27,14.0,14.0,14.0,14.0
SAP,1995-09-28,13.69,13.69,13.69,13.69
SAP,1995-09-29,13.75,13.75,13.75,13.75
SAP,1995-10-02,13.75,13.75,13.75,13.75
SAP,1995-10-03,13.69,13.69,13.69,13.69
SAP,1995-10-04,14.0,14.0,14.0,14.0
SAP,1995-10-05,13.5,13.5,13.5,13.5
SAP,1995-10-06,13.25,13.25,13.25,13.25
SAP,1995-10-09,13.38,13.38,13.38,13.38
SAP,1995-10-10,12.56,12.56,12.56,12.56
SAP,1995-10-11,12.69,12.69,12.69,12.69
SAP,1995-10-12,12.88,12.88,12.88,12.88
SAP,1995-10-13,13.5,13.5,13.5,13.5
SAP,1995-10-16,13.38,13.38,13.38,13.38
SAP,1995-10-17,13.5,13.5,13.5,13.5
SAP,1995-10-18,12.25,12.25,12.25,12.25
SAP,1995-10-19,12.38,12.38,12.38,12.38
SAP,1995-10-20,12.38,12.38,12.38,12.38
SAP,1995-10-23,12.19,12.19,12.19,12.19
SAP,1995-10-24,12.25,12.25,12.25,12.25
SAP,1995-10-25,12.62,12.62,12.62,12.62
SAP,1995-10-26,12.38,12.38,12.38,12.38
SAP,1995-10-27,12.0,12.0,12.0,12.0
SAP,1995-10-30,12.62,12.62,12.62,12.62
SAP,1995-10-31,12.94,12.94,12.94,12.94
SAP,1995-11-01,12.75,12.75,12.75,12.75
SAP,1995-11-02,12.75,12.75,12.75,12.75
SAP,1995-11-03,13.0,13.0,13.0,13.0
SAP,1995-11-06,13.19,13.19,13.19,13.19
SAP,1995-11-07,13.5,13.5,13.5,13.5
SAP,1995-11-08,13.53,13.53,13.53,13.53
SAP,1995-11-09,13.38,13.38,13.38,13.38
SAP,1995-11-10,13.19,13.19,13.19,13.19
SAP,1995-11-13,13.38,13.38,13.38,13.38
SAP,1995-11-14,13.38,13.38,13.38,13.38
SAP,1995-11-15,13.69,13.69,13.69,13.69
SAP,1995-11-16,13.5,13.5,13.5,13.5
SAP,1995-11-17,13.75,13.75,13.75,13.75
SAP,1995-11-20,13.5,13.5,13.5,13.5
SAP,1995-11-21,13.53,13.53,13.53,13.53
SAP,1995-11-22,13.38,13.38,13.38,13.38
SAP,1995-11-24,13.5,13.5,13.5,13.5
SAP,1995-11-27,13.56,13.56,13.56,13.56
SAP,1995-11-28,13.75,13.75,13.75,13.75
SAP,1995-11-29,13.5,13.5,13.5,13.5
SAP,1995-11-30,13.41,13.41,13.41,13.41
SAP,1995-12-01,13.38,13.38,13.38,13.38
SAP,1995-12-04,13.5,13.5,13.5,13.5
SAP,1995-12-05,13.62,13.62,13.62,13.62
