ticker,date,open,high,low,close
TD,1996-08-30,4.84,4.84,4.81,4.81
TD,1996-09-03,4.75,4.75,4.72,4.75
TD,1996-09-04,4.78,4.78,4.78,4.78
TD,1996-09-05,4.78,4.78,4.72,4.72
TD,1996-09-06,4.75,4.78,4.75,4.75
TD,1996-09-09,4.78,4.78,4.78,4.78
TD,1996-09-10,4.78,4.78,4.78,4.78
TD,1996-09-11,4.78,4.84,4.78,4.84
TD,1996-09-12,4.88,4.94,4.88,4.94
TD,1996-09-13,4.94,5.03,4.94,5.03
TD,1996-09-16,5.03,5.06,5.03,5.03
TD,1996-09-17,5.06,5.06,5.0,5.03
TD,1996-09-18,5.03,5.09,5.03,5.09
TD,1996-09-19,5.12,5.16,5.09,5.16
TD,1996-09-20,5.22,5.28,5.19,5.28
TD,1996-09-23,5.28,5.28,5.28,5.28
TD,1996-09-24,5.28,5.38,5.28,5.34
TD,1996-09-25,5.34,5.34,5.34,5.34
TD,1996-09-26,5.31,5.34,5.09,5.09
TD,1996-09-27,5.12,5.12,4.94,5.06
TD,1996-09-30,5.06,5.09,5.06,5.09
TD,1996-10-01,5.09,5.09,5.06,5.09
TD,1996-10-02,5.16,5.28,5.16,5.28
TD,1996-10-03,5.28,5.31,5.25,5.31
TD,1996-10-04,5.34,5.44,5.34,5.44
TD,1996-10-07,5.5,5.56,5.5,5.5
TD,1996-10-08,5.5,5.56,5.5,5.53
TD,1996-10-09,5.53,5.53,5.5,5.5
TD,1996-10-10,5.47,5.56,5.47,5.53
TD,1996-10-11,5.56,5.62,5.56,5.62
TD,1996-10-14,5.62,5.69,5.62,5.69
TD,1996-10-15,5.75,5.75,5.53,5.56
TD,1996-10-16,5.53,5.56,5.47,5.53
TD,1996-10-17,5.53,5.56,5.5,5.56
TD,1996-10-18,5.56,5.69,5.53,5.66
TD,1996-10-21,5.62,5.72,5.62,5.72
TD,1996-10-22,5.72,5.84,5.69,5.75
TD,1996-10-23,5.78,5.78,5.69,5.78
TD,1996-10-24,5.78,5.81,5.75,5.75
TD,1996-10-25,5.78,5.81,5.75,5.78
TD,1996-10-28,5.78,5.84,5.75,5.75
TD,1996-10-29,5.78,5.81,5.75,5.78
TD,1996-10-30,5.78,5.81,5.75,5.78
TD,1996-10-31,5.78,5.84,5.78,5.84
TD,1996-11-01,5.84,6.03,5.84,6.0
TD,1996-11-04,6.03,6.22,6.03,6.22
TD,1996-11-05,6.38,6.56,6.31,6.47
TD,1996-11-06,6.47,6.75,6.47,6.66
TD,1996-11-07,6.66,6.66,6.47,6.5
TD,1996-11-08,6.53,6.53,6.41,6.47
TD,1996-11-11,6.47,6.5,6.41,6.5
TD,1996-11-12,6.5,6.5,6.25,6.28
TD,1996-11-13,6.28,6.28,6.0,6.12
TD,1996-11-14,6.16,6.41,6.06,6.34
TD,1996-11-15,6.38,6.56,6.31,6.5
TD,1996-11-18,6.5,6.5,6.44,6.44
TD,1996-11-19,6.44,6.56,6.44,6.56
TD,1996-11-20,6.56,6.66,6.56,6.62
TD,1996-11-21,6.59,6.59,6.38,6.44
TD,1996-11-22,6.41,6.5,6.38,6.41
TD,1996-11-25,6.38,6.72,6.38,6.69
TD,1996-11-26,6.75,6.88,6.69,6.72
TD,1996-11-27,6.72,6.84,6.69,6.84
TD,1996-11-29,6.84,6.84,6.66,6.66
TD,1996-12-02,6.69,6.69,6.44,6.47
TD,1996-12-03,6.53,6.56,6.47,6.5
TD,1996-12-04,6.47,6.47,6.31,6.34
TD,1996-12-05,6.34,6.34,6.0,6.09
TD,1996-12-06,5.84,6.12,5.78,6.09
TD,1996-12-09,6.22,6.38,6.22,6.34
TD,1996-12-10,6.41,6.47,6.38,6.41
TD,1996-12-11,6.09,6.28,6.09,6.16
TD,1996-12-12,6.19,6.19,6.03,6.03
TD,1996-12-13,6.03,6.16,6.03,6.16
TD,1996-12-16,6.12,6.12,6.06,6.09
TD,1996-12-17,6.06,6.19,6.03,6.16
TD,1996-12-18,6.12,6.19,6.09,6.12
TD,1996-12-19,6.12,6.41,6.12,6.41
TD,1996-12-20,6.44,6.44,6.28,6.34
TD,1996-12-23,6.31,6.38,6.28,6.31
TD,1996-12-24,6.34,6.38,6.31,6.34
TD,1996-12-26,6.34,6.38,6.34,6.34
TD,1996-12-27,6.38,6.44,6.38,6.41
TD,1996-12-30,6.56,6.62,6.5,6.53
TD,1996-12-31,6.5,6.53,6.38,6.38
TD,1997-01-02,6.38,6.41,6.19,6.31
TD,1997-01-03,6.31,6.41,6.31,6.34
TD,1997-01-06,6.34,6.44,6.34,6.41
TD,1997-01-07,6.41,6.44,6.34,6.44
TD,1997-01-08,6.44,6.47,6.41,6.44
TD,1997-01-09,6.47,6.5,6.47,6.5
TD,1997-01-10,6.44,6.47,6.41,6.41
TD,1997-01-13,6.44,6.5,6.44,6.5
TD,1997-01-14,6.5,6.53,6.5,6.53
TD,1997-01-15,6.5,6.69,6.5,6.69
TD,1997-01-16,6.72,6.81,6.72,6.81
TD,1997-01-17,6.84,6.91,6.84,6.84
TD,1997-01-20,6.81,6.84,6.81,6.84
TD,1997-01-21,6.84,6.84,6.81,6.81
TD,1997-01-22,6.81,6.84,6.81,6.84
TD,1997-01-23,6.84,6.94,6.84,6.84
TD,1997-01-24,6.81,6.84,6.78,6.84
TD,1997-01-27,6.81,6.84,6.81,6.81
TD,1997-01-28,6.84,6.94,6.84,6.88
TD,1997-01-29,6.88,6.91,6.84,6.91
TD,1997-01-30,6.91,6.91,6.84,6.91
TD,1997-01-31,6.91,6.94,6.88,6.88
TD,1997-02-03,6.91,7.03,6.91,7.0
TD,1997-02-04,7.03,7.16,7.03,7.16
TD,1997-02-05,7.16,7.25,7.09,7.09
TD,1997-02-06,7.12,7.12,7.03,7.06
TD,1997-02-07,7.09,7.16,7.03,7.16
TD,1997-02-10,7.19,7.22,7.19,7.22
TD,1997-02-11,7.25,7.44,7.25,7.28
TD,1997-02-12,7.31,7.31,7.25,7.28
TD,1997-02-13,7.25,7.41,7.25,7.38
TD,1997-02-14,7.41,7.41,7.31,7.31
TD,1997-02-18,7.25,7.34,7.25,7.34
TD,1997-02-19,7.38,7.38,7.31,7.31
TD,1997-02-20,7.28,7.31,7.0,7.03
TD,1997-02-21,7.06,7.06,6.97,7.0
TD,1997-02-24,7.0,7.06,6.88,7.06
TD,1997-02-25,7.09,7.28,7.09,7.28
TD,1997-02-26,7.31,7.31,7.16,7.22
TD,1997-02-27,7.19,7.19,6.94,7.12
TD,1997-02-28,7.09,7.09,7.0,7.03
TD,1997-03-03,7.0,7.0,6.91,6.94
TD,1997-03-04,6.97,7.03,6.97,7.0
TD,1997-03-05,7.06,7.12,7.06,7.09
TD,1997-03-06,7.16,7.25,7.12,7.12
TD,1997-03-07,7.12,7.22,7.12,7.19
TD,1997-03-10,7.19,7.38,7.16,7.38
TD,1997-03-11,7.41,7.5,7.22,7.22
