ticker,date,open,high,low,close
TT,1980-03-17,0.0,2.3,2.23,2.23
TT,1980-03-18,0.0,2.27,2.23,2.26
TT,1980-03-19,0.0,2.27,2.24,2.24
TT,1980-03-20,0.0,2.23,2.19,2.19
TT,1980-03-21,0.0,2.18,2.14,2.14
TT,1980-03-24,0.0,2.14,2.07,2.07
TT,1980-03-25,0.0,2.06,2.02,2.03
TT,1980-03-26,0.0,2.07,2.04,2.05
TT,1980-03-27,0.0,2.06,1.98,2.0
TT,1980-03-28,0.0,2.15,2.02,2.15
TT,1980-03-31,0.0,2.15,2.12,2.14
TT,1980-04-01,0.0,2.14,2.07,2.07
TT,1980-04-02,0.0,2.11,2.09,2.1
TT,1980-04-03,0.0,2.11,2.07,2.07
TT,1980-04-07,0.0,2.08,2.05,2.06
TT,1980-04-08,0.0,2.09,2.06,2.07
TT,1980-04-09,0.0,2.07,2.06,2.06
TT,1980-04-10,0.0,2.07,2.04,2.05
TT,1980-04-11,0.0,2.06,2.02,2.02
TT,1980-04-14,0.0,2.03,2.02,2.02
TT,1980-04-15,0.0,2.04,2.03,2.03
TT,1980-04-16,0.0,2.07,2.02,2.03
TT,1980-04-17,0.0,2.04,2.01,2.03
TT,1980-04-18,0.0,2.04,2.03,2.03
TT,1980-04-21,0.0,2.04,2.0,2.01
TT,1980-04-22,0.0,2.03,1.99,1.99
TT,1980-04-23,0.0,2.0,1.97,1.97
TT,1980-04-24,0.0,2.0,1.96,2.0
TT,1980-04-25,0.0,1.99,1.97,1.97
TT,1980-04-28,0.0,1.99,1.96,1.96
TT,1980-04-29,0.0,1.97,1.95,1.95
TT,1980-04-30,0.0,1.96,1.94,1.94
TT,1980-05-01,0.0,1.98,1.95,1.98
TT,1980-05-02,0.0,1.98,1.96,1.97
TT,1980-05-05,0.0,1.96,1.93,1.93
TT,1980-05-06,0.0,1.96,1.94,1.94
TT,1980-05-07,0.0,1.99,1.94,1.99
TT,1980-05-08,0.0,2.03,1.99,1.99
TT,1980-05-09,0.0,1.98,1.95,1.95
TT,1980-05-12,0.0,1.92,1.9,1.92
TT,1980-05-13,0.0,1.94,1.92,1.94
TT,1980-05-14,0.0,1.98,1.95,1.97
TT,1980-05-15,0.0,2.01,1.97,2.0
TT,1980-05-16,0.0,2.01,1.99,2.01
TT,1980-05-19,0.0,2.03,2.0,2.02
TT,1980-05-20,0.0,2.01,1.99,1.99
TT,1980-05-21,0.0,2.02,2.0,2.01
TT,1980-05-22,0.0,2.12,2.01,2.12
TT,1980-05-23,0.0,2.27,2.13,2.24
TT,1980-05-27,0.0,2.19,2.16,2.16
TT,1980-05-28,0.0,2.17,2.14,2.15
TT,1980-05-29,0.0,2.2,2.17,2.17
TT,1980-05-30,0.0,2.22,2.16,2.21
TT,1980-06-02,0.0,2.2,2.15,2.18
TT,1980-06-03,0.0,2.18,2.14,2.15
TT,1980-06-04,0.0,2.16,2.15,2.15
TT,1980-06-05,0.0,2.18,2.16,2.17
TT,1980-06-06,0.0,2.19,2.17,2.17
TT,1980-06-09,0.0,2.18,2.16,2.16
TT,1980-06-10,0.0,2.2,2.17,2.19
TT,1980-06-11,0.0,2.24,2.21,2.23
TT,1980-06-12,0.0,2.25,2.22,2.23
TT,1980-06-13,0.0,2.25,2.22,2.22
TT,1980-06-16,0.0,2.23,2.21,2.21
TT,1980-06-17,0.0,2.23,2.21,2.23
TT,1980-06-18,0.0,2.22,2.16,2.19
TT,1980-06-19,0.0,2.25,2.21,2.21
TT,1980-06-20,0.0,2.22,2.2,2.2
TT,1980-06-23,0.0,2.21,2.19,2.19
TT,1980-06-24,0.0,2.25,2.2,2.25
TT,1980-06-25,0.0,2.33,2.25,2.31
TT,1980-06-26,0.0,2.41,2.31,2.39
TT,1980-06-27,0.0,2.4,2.38,2.4
TT,1980-06-30,0.0,2.41,2.37,2.38
TT,1980-07-01,0.0,2.38,2.35,2.37
TT,1980-07-02,0.0,2.37,2.36,2.36
TT,1980-07-03,0.0,2.36,2.33,2.35
TT,1980-07-07,0.0,2.36,2.33,2.34
TT,1980-07-08,0.0,2.33,2.32,2.33
TT,1980-07-09,0.0,2.35,2.32,2.35
TT,1980-07-10,0.0,2.34,2.32,2.32
TT,1980-07-11,0.0,2.34,2.31,2.34
TT,1980-07-14,0.0,2.4,2.36,2.39
TT,1980-07-15,0.0,2.42,2.39,2.41
TT,1980-07-16,0.0,2.43,2.4,2.4
TT,1980-07-17,0.0,2.42,2.39,2.41
TT,1980-07-18,0.0,2.44,2.43,2.44
TT,1980-07-21,0.0,2.46,2.42,2.42
TT,1980-07-22,0.0,2.47,2.43,2.43
TT,1980-07-23,0.0,2.47,2.44,2.45
TT,1980-07-24,0.0,2.46,2.44,2.44
TT,1980-07-25,0.0,2.45,2.44,2.44
TT,1980-07-28,0.0,2.45,2.44,2.45
TT,1980-07-29,0.0,2.52,2.44,2.51
TT,1980-07-30,0.0,2.55,2.51,2.53
TT,1980-07-31,0.0,2.54,2.52,2.54
TT,1980-08-01,0.0,2.54,2.53,2.54
TT,1980-08-04,0.0,2.55,2.54,2.55
TT,1980-08-05,0.0,2.56,2.54,2.55
TT,1980-08-06,0.0,2.55,2.54,2.54
TT,1980-08-07,0.0,2.59,2.55,2.58
TT,1980-08-08,0.0,2.67,2.63,2.64
TT,1980-08-11,0.0,2.6,2.58,2.58
TT,1980-08-12,0.0,2.59,2.56,2.56
TT,1980-08-13,0.0,2.58,2.56,2.57
TT,1980-08-14,0.0,2.57,2.56,2.57
TT,1980-08-15,0.0,2.57,2.56,2.56
TT,1980-08-18,0.0,2.57,2.54,2.54
TT,1980-08-19,0.0,2.52,2.49,2.51
