ticker,date,open,high,low,close
UBS,2000-05-16,22.33,22.35,22.23,22.32
UBS,2000-05-17,22.04,22.04,21.85,21.92
UBS,2000-05-18,22.07,22.17,22.06,22.08
UBS,2000-05-19,21.96,21.96,21.8,21.82
UBS,2000-05-22,21.83,21.92,21.62,21.74
UBS,2000-05-23,22.17,22.24,22.15,22.22
UBS,2000-05-24,22.21,22.24,22.18,22.24
UBS,2000-05-25,22.62,22.75,22.6,22.71
UBS,2000-05-26,22.54,22.6,22.42,22.56
UBS,2000-05-30,22.68,22.7,22.33,22.38
UBS,2000-05-31,22.46,22.54,22.46,22.54
UBS,2000-06-01,22.56,22.59,22.52,22.59
UBS,2000-06-02,23.24,23.57,23.24,23.55
UBS,2000-06-05,23.47,23.75,23.44,23.75
UBS,2000-06-06,23.88,24.23,23.88,24.19
UBS,2000-06-07,24.27,24.44,24.27,24.44
UBS,2000-06-08,24.89,24.93,24.54,24.62
UBS,2000-06-09,24.62,24.81,24.59,24.73
UBS,2000-06-12,24.71,24.85,24.71,24.83
UBS,2000-06-13,25.17,25.25,25.17,25.25
UBS,2000-06-14,25.29,25.52,25.28,25.5
UBS,2000-06-15,25.42,25.42,24.72,24.73
UBS,2000-06-16,25.0,25.12,25.0,25.08
UBS,2000-06-19,24.79,24.85,24.65,24.83
UBS,2000-06-20,24.77,24.85,24.73,24.85
UBS,2000-06-21,24.42,24.74,24.4,24.61
UBS,2000-06-22,24.56,24.56,24.23,24.23
UBS,2000-06-23,24.21,24.23,24.1,24.17
UBS,2000-06-26,24.0,24.03,23.96,24.03
UBS,2000-06-27,23.89,24.15,23.89,24.15
UBS,2000-06-28,24.44,24.46,24.43,24.46
UBS,2000-06-29,24.33,24.33,24.17,24.17
UBS,2000-06-30,24.42,24.52,24.42,24.5
UBS,2000-07-03,24.31,24.42,24.21,24.42
UBS,2000-07-05,24.7,24.84,24.7,24.84
UBS,2000-07-06,24.91,24.91,24.79,24.88
UBS,2000-07-07,24.77,24.83,24.75,24.83
UBS,2000-07-10,24.8,24.8,24.68,24.75
UBS,2000-07-11,24.75,24.83,24.74,24.79
UBS,2000-07-12,23.5,23.5,22.0,22.53
UBS,2000-07-13,22.95,23.88,22.86,23.71
UBS,2000-07-14,23.88,24.0,23.68,24.0
UBS,2000-07-17,24.2,24.44,23.89,23.9
UBS,2000-07-18,23.9,23.94,23.17,23.27
UBS,2000-07-19,23.54,23.56,23.19,23.31
UBS,2000-07-20,23.68,23.81,23.61,23.77
UBS,2000-07-21,23.94,23.99,23.48,23.65
UBS,2000-07-24,23.92,24.06,23.9,24.06
UBS,2000-07-25,24.2,24.23,24.04,24.1
UBS,2000-07-26,24.15,24.45,24.15,24.38
UBS,2000-07-27,24.49,24.54,24.06,24.17
UBS,2000-07-28,24.18,24.24,23.94,24.03
UBS,2000-07-31,24.12,24.14,24.0,24.0
UBS,2000-08-01,23.98,23.98,23.54,23.62
UBS,2000-08-02,23.83,23.97,23.76,23.79
UBS,2000-08-03,23.58,23.69,23.27,23.69
UBS,2000-08-04,23.79,23.85,23.69,23.82
UBS,2000-08-07,24.31,24.64,24.31,24.46
UBS,2000-08-08,24.69,24.98,24.67,24.95
UBS,2000-08-09,25.34,25.44,24.95,25.04
UBS,2000-08-10,25.23,25.23,24.9,24.97
UBS,2000-08-11,25.25,25.38,25.19,25.26
UBS,2000-08-14,25.35,25.41,25.01,25.39
UBS,2000-08-15,25.34,25.34,24.95,25.11
UBS,2000-08-16,25.21,25.38,25.21,25.33
UBS,2000-08-17,25.4,25.54,25.38,25.54
UBS,2000-08-18,25.56,25.59,25.29,25.34
UBS,2000-08-21,25.4,25.42,25.18,25.31
UBS,2000-08-22,24.83,24.89,24.75,24.82
UBS,2000-08-23,25.03,25.1,24.76,24.84
UBS,2000-08-24,24.96,25.03,24.71,24.83
UBS,2000-08-25,24.54,24.68,24.48,24.52
UBS,2000-08-28,24.59,24.7,24.59,24.68
UBS,2000-08-29,24.66,24.66,24.25,24.34
UBS,2000-08-30,24.38,24.38,24.15,24.15
UBS,2000-08-31,24.19,24.42,24.19,24.36
UBS,2000-09-01,24.62,24.79,24.55,24.59
UBS,2000-09-05,24.46,24.46,24.27,24.38
UBS,2000-09-06,24.29,24.29,23.88,23.89
UBS,2000-09-07,23.83,23.92,23.62,23.66
UBS,2000-09-08,23.75,23.89,23.75,23.88
UBS,2000-09-11,24.02,24.21,24.0,24.02
UBS,2000-09-12,24.21,24.29,24.09,24.12
UBS,2000-09-13,24.08,24.08,23.71,23.73
UBS,2000-09-14,23.98,24.02,23.86,23.9
UBS,2000-09-15,23.9,23.95,23.82,23.83
UBS,2000-09-18,23.79,23.79,23.16,23.19
UBS,2000-09-19,23.28,23.33,23.14,23.33
UBS,2000-09-20,23.08,23.11,22.67,22.83
UBS,2000-09-21,23.08,23.11,22.83,23.05
UBS,2000-09-22,23.42,23.56,23.35,23.56
UBS,2000-09-25,23.73,23.91,23.68,23.72
UBS,2000-09-26,23.83,23.92,23.76,23.88
UBS,2000-09-27,24.02,24.08,23.69,23.7
UBS,2000-09-28,23.5,23.5,23.15,23.37
UBS,2000-09-29,22.59,22.61,22.37,22.58
UBS,2000-10-02,22.61,23.02,22.54,23.02
UBS,2000-10-03,23.17,23.3,22.97,22.97
UBS,2000-10-04,22.95,23.14,22.95,23.01
UBS,2000-10-05,23.12,23.2,22.94,23.02
UBS,2000-10-06,23.02,23.08,22.8,22.81
UBS,2000-10-09,22.33,22.33,21.79,21.9
UBS,2000-10-10,21.77,21.77,21.29,21.59
UBS,2000-10-11,20.17,20.92,20.17,20.89
UBS,2000-10-12,21.0,21.05,20.33,20.5
UBS,2000-10-13,20.5,21.04,20.5,21.0
UBS,2000-10-16,20.97,20.98,20.54,20.66
UBS,2000-10-17,20.65,20.79,20.55,20.55
UBS,2000-10-18,20.08,20.58,19.93,20.23
UBS,2000-10-19,20.88,21.1,20.8,21.1
UBS,2000-10-20,20.85,21.03,20.71,20.83
UBS,2000-10-23,21.23,21.61,20.37,20.75
UBS,2000-10-24,21.7,21.79,21.29,21.5
UBS,2000-10-25,21.42,21.42,20.85,20.89
UBS,2000-10-26,21.98,22.16,21.52,21.77
UBS,2000-10-27,22.33,22.54,22.27,22.45
UBS,2000-10-30,22.67,22.67,22.22,22.5
UBS,2000-10-31,22.92,23.33,22.92,23.33
UBS,2000-11-01,23.0,24.12,22.92,24.04
UBS,2000-11-02,23.5,24.11,23.45,23.8
UBS,2000-11-03,23.83,23.83,23.21,23.67
UBS,2000-11-06,23.83,24.0,23.64,23.77
UBS,2000-11-07,24.17,24.33,23.86,23.93
UBS,2000-11-08,23.7,23.75,23.58,23.68
UBS,2000-11-09,23.34,23.55,23.25,23.53
UBS,2000-11-10,23.5,23.52,22.51,22.87
UBS,2000-11-13,22.7,22.93,22.55,22.74
UBS,2000-11-14,23.46,23.7,23.29,23.41
UBS,2000-11-15,23.98,24.08,23.43,23.48
UBS,2000-11-16,24.01,24.04,23.75,23.79
UBS,2000-11-17,24.03,24.13,23.8,23.88
UBS,2000-11-20,23.98,24.02,23.42,23.48
UBS,2000-11-21,23.72,23.82,23.63,23.67
UBS,2000-11-22,22.83,22.96,22.53,22.59
UBS,2000-11-24,22.72,22.96,22.72,22.96
UBS,2000-11-27,23.45,23.65,23.29,23.33
UBS,2000-11-28,23.38,23.52,23.36,23.39
UBS,2000-11-29,23.25,23.33,23.0,23.14
UBS,2000-11-30,23.1,23.34,22.67,22.88
UBS,2000-12-01,23.68,24.02,23.59,23.63
UBS,2000-12-04,24.14,24.25,23.67,24.02
UBS,2000-12-05,24.43,24.96,24.41,24.83
UBS,2000-12-06,25.13,25.33,24.9,25.02
UBS,2000-12-07,25.02,25.33,25.02,25.18
UBS,2000-12-08,25.42,25.71,25.27,25.4
UBS,2000-12-11,25.59,25.7,25.5,25.63
