ticker,date,open,high,low,close
UNP,1980-01-02,3.4211,3.46768,3.4211,3.42926
UNP,1980-01-03,3.40195,3.40195,3.34751,3.37847
UNP,1980-01-04,3.38671,3.44036,3.38671,3.44036
UNP,1980-01-07,3.44036,3.46768,3.4211,3.4211
UNP,1980-01-08,3.4211,3.45225,3.29741,3.29741
UNP,1980-01-09,3.29741,3.33209,3.20092,3.27442
UNP,1980-01-10,3.27442,3.27805,3.24719,3.24719
UNP,1980-01-11,3.24719,3.26636,3.23944,3.25487
UNP,1980-01-14,3.25487,3.33209,3.25487,3.3206
UNP,1980-01-15,3.34388,3.42926,3.34388,3.42926
UNP,1980-01-16,3.44036,3.47927,3.44036,3.46001
UNP,1980-01-17,3.46001,3.46768,3.44036,3.46001
UNP,1980-01-18,3.46001,3.52575,3.46001,3.50648
UNP,1980-01-21,3.54088,3.59963,3.54088,3.59963
UNP,1980-01-22,3.59963,3.66526,3.59176,3.61869
UNP,1980-01-23,3.61869,3.64187,3.5955,3.61496
UNP,1980-01-24,3.74632,3.79692,3.74632,3.75034
UNP,1980-01-25,3.73876,3.73876,3.69237,3.72303
UNP,1980-01-28,3.72303,3.76941,3.70377,3.73876
UNP,1980-01-29,3.73876,3.79298,3.73876,3.73876
UNP,1980-01-30,3.73876,3.75034,3.72707,3.73876
UNP,1980-01-31,3.73876,3.79298,3.70377,3.70377
UNP,1980-02-01,3.70377,3.74632,3.70377,3.74632
UNP,1980-02-04,3.74632,3.77756,3.37503,3.73876
UNP,1980-02-05,3.76184,3.92848,3.76184,3.92848
UNP,1980-02-06,4.00216,4.27668,4.00216,4.13294
UNP,1980-02-07,4.13294,4.43172,4.13294,4.39664
UNP,1980-02-08,4.39664,4.59776,4.2533,4.59039
UNP,1980-02-11,4.59039,4.68305,4.49371,4.50874
UNP,1980-02-12,4.50089,4.50089,4.38514,4.47809
UNP,1980-02-13,4.47809,4.50089,4.43172,4.49371
UNP,1980-02-14,4.48556,4.48556,4.27668,4.32698
UNP,1980-02-15,4.32698,4.39291,4.27668,4.38514
UNP,1980-02-19,4.38514,4.46257,4.37729,4.46257
UNP,1980-02-20,4.46257,4.52819,4.44674,4.52819
UNP,1980-02-21,4.52819,4.67135,4.50874,4.59776
UNP,1980-02-22,4.59776,4.8262,4.52819,4.71792
UNP,1980-02-25,4.71792,4.76027,4.57497,4.59039
UNP,1980-02-26,4.59039,4.65976,4.55149,4.6404
UNP,1980-02-27,4.6404,4.69444,4.47407,4.51278
UNP,1980-02-28,4.51278,4.59403,4.43172,4.45844
UNP,1980-02-29,4.46601,4.57497,4.46601,4.50089
UNP,1980-03-03,4.50089,4.53213,4.46601,4.46601
UNP,1980-03-04,4.46601,4.50089,4.44674,4.50089
UNP,1980-03-05,4.50089,4.58224,4.47809,4.49371
UNP,1980-03-06,4.47809,4.47809,4.33858,4.3426
UNP,1980-03-07,4.33858,4.33858,4.1802,4.21458
UNP,1980-03-10,4.21458,4.2418,4.12576,4.1802
UNP,1980-03-11,4.1802,4.19542,4.01789,4.07545
UNP,1980-03-12,4.07545,4.09854,4.04058,4.09854
UNP,1980-03-13,4.09854,4.13294,4.06013,4.09854
UNP,1980-03-14,4.08331,4.08331,4.02889,4.04058
UNP,1980-03-17,4.04058,4.04058,3.84673,3.85872
UNP,1980-03-18,3.85872,3.89349,3.80438,3.89349
UNP,1980-03-19,3.9438,4.11005,3.9438,4.02889
UNP,1980-03-20,4.02889,4.04421,3.90893,3.95933
UNP,1980-03-21,3.92848,3.92848,3.88574,3.89349
UNP,1980-03-24,3.89349,3.90893,3.7811,3.80438
UNP,1980-03-25,3.80438,3.8818,3.77756,3.85872
UNP,1980-03-26,3.85872,3.89782,3.84309,3.84309
UNP,1980-03-27,3.84309,3.87032,3.72707,3.81214
UNP,1980-03-28,3.81214,3.94754,3.81214,3.91688
UNP,1980-03-31,3.95137,4.02889,3.95137,4.00934
UNP,1980-04-01,3.99372,3.99372,3.90893,3.9438
UNP,1980-04-02,3.9438,4.01336,3.92848,3.95137
UNP,1980-04-03,3.95137,3.95933,3.84673,3.89349
UNP,1980-04-07,3.8818,3.8818,3.79692,3.81214
UNP,1980-04-08,3.81214,3.83563,3.76184,3.81607
UNP,1980-04-09,3.81607,3.87032,3.79692,3.87032
UNP,1980-04-10,3.87032,3.8818,3.82384,3.83563
UNP,1980-04-11,3.83563,3.85872,3.7811,3.80438
UNP,1980-04-14,3.79298,3.79298,3.73088,3.75034
UNP,1980-04-15,3.75034,3.81214,3.75034,3.76184
UNP,1980-04-16,3.76184,3.81607,3.69621,3.70377
UNP,1980-04-17,3.66133,3.66133,3.44036,3.50648
UNP,1980-04-18,3.50648,3.58381,3.47927,3.49086
UNP,1980-04-21,3.49086,3.51041,3.40195,3.40195
UNP,1980-04-22,3.46385,3.64187,3.46385,3.64187
UNP,1980-04-23,3.6573,3.71556,3.6573,3.67282
UNP,1980-04-24,3.607,3.607,3.49086,3.56446
UNP,1980-04-25,3.56446,3.69237,3.46385,3.66526
UNP,1980-04-28,3.66526,3.67282,3.56052,3.56446
UNP,1980-04-29,3.56446,3.5955,3.545,3.56446
UNP,1980-04-30,3.56446,3.57231,3.49509,3.57231
UNP,1980-05-01,3.57231,3.59963,3.51041,3.5336
UNP,1980-05-02,3.5336,3.61869,3.5336,3.61869
UNP,1980-05-05,3.61869,3.6573,3.59963,3.607
UNP,1980-05-06,3.607,3.68068,3.607,3.64187
UNP,1980-05-07,3.64187,3.72303,3.64187,3.72303
UNP,1980-05-08,3.72707,3.77756,3.72707,3.72707
UNP,1980-05-09,3.72707,3.72707,3.67282,3.69621
UNP,1980-05-12,3.75034,3.75034,3.64187,3.71556
UNP,1980-05-13,3.71556,3.79692,3.70377,3.72707
UNP,1980-05-14,3.72707,3.76184,3.6573,3.68068
UNP,1980-05-15,3.68068,3.69237,3.62232,3.63057
UNP,1980-05-16,3.63057,3.6573,3.62232,3.63057
UNP,1980-05-19,3.63057,3.6573,3.607,3.64187
UNP,1980-05-20,3.64187,3.69237,3.5955,3.6573
UNP,1980-05-21,3.6573,3.71556,3.62232,3.68068
UNP,1980-05-22,3.69237,3.79692,3.69237,3.76184
UNP,1980-05-23,3.82384,4.06013,3.82384,4.01336
UNP,1980-05-27,4.15671,4.21458,4.15671,4.17224
UNP,1980-05-28,4.17224,4.19542,4.11005,4.19542
UNP,1980-05-29,4.13294,4.13294,3.92848,4.00216
UNP,1980-05-30,4.00216,4.08331,3.89349,4.08331
UNP,1980-06-02,4.08331,4.12202,4.04058,4.06013
UNP,1980-06-03,4.06013,4.06013,3.9438,3.98998
UNP,1980-06-04,4.00216,4.19542,4.00216,4.15671
UNP,1980-06-05,4.15671,4.32698,4.14502,4.20721
UNP,1980-06-06,4.20721,4.20721,4.15671,4.15671
UNP,1980-06-09,4.15671,4.2418,4.14502,4.14502
UNP,1980-06-10,4.1802,4.21458,4.1802,4.19542
UNP,1980-06-11,4.19542,4.26498,4.17224,4.2533
UNP,1980-06-12,4.2533,4.31156,4.2533,4.27668
UNP,1980-06-13,4.27668,4.31156,4.1802,4.19542
UNP,1980-06-16,4.19542,4.22981,4.15671,4.20721
UNP,1980-06-17,4.19542,4.19542,4.11005,4.11005
UNP,1980-06-18,4.11005,4.1802,4.08331,4.15671
UNP,1980-06-19,4.15671,4.19542,4.06013,4.06013
UNP,1980-06-20,4.04815,4.04815,3.84673,3.88574
UNP,1980-06-23,3.87032,3.87032,3.77756,3.79692
UNP,1980-06-24,3.79692,3.91688,3.76184,3.91688
UNP,1980-06-25,3.91688,3.96709,3.90893,3.9438
UNP,1980-06-26,4.01336,4.20721,4.01336,4.13294
UNP,1980-06-27,4.13294,4.14502,4.04815,4.11005
UNP,1980-06-30,4.11005,4.12202,4.06013,4.08331
UNP,1980-07-01,4.08331,4.08331,4.02476,4.04058
UNP,1980-07-02,4.04058,4.09854,4.02476,4.04058
UNP,1980-07-03,4.09854,4.20721,4.09854,4.20721
UNP,1980-07-07,4.26498,4.31156,4.26498,4.31156
UNP,1980-07-08,4.31156,4.39664,4.2533,4.2533
UNP,1980-07-09,4.2533,4.33858,4.2418,4.26498
UNP,1980-07-10,4.26498,4.28887,4.21458,4.21458
UNP,1980-07-11,4.21458,4.28887,4.20721,4.28887
UNP,1980-07-14,4.33858,4.5397,4.33858,4.5397
UNP,1980-07-15,4.52819,4.52819,4.44311,4.49371
UNP,1980-07-16,4.49371,4.56298,4.45844,4.55149
UNP,1980-07-17,4.65976,4.76449,4.65976,4.74485
UNP,1980-07-18,4.75664,4.8765,4.75664,4.79111
UNP,1980-07-21,4.79111,4.86137,4.76449,4.86137
UNP,1980-07-22,4.86137,4.86137,4.79111,4.80281
UNP,1980-07-23,4.79111,4.79111,4.62518,4.63224
UNP,1980-07-24,4.63224,4.63224,4.5397,4.57497
UNP,1980-07-25,4.56298,4.56298,4.44311,4.5168
UNP,1980-07-28,4.5168,4.59039,4.44311,4.5397
UNP,1980-07-29,4.5397,4.57497,4.52819,4.55149
UNP,1980-07-30,4.59039,4.65976,4.59039,4.62518
UNP,1980-07-31,4.5168,4.5168,4.40823,4.49371
UNP,1980-08-01,4.47809,4.47809,4.34613,4.44311
UNP,1980-08-04,4.44311,4.44311,4.38514,4.44311
UNP,1980-08-05,4.44311,4.46601,4.39664,4.39664
UNP,1980-08-06,4.39664,4.41963,4.36156,4.41963
UNP,1980-08-07,4.41963,4.47809,4.40823,4.47809
UNP,1980-08-08,4.50491,4.59776,4.50491,4.5397
UNP,1980-08-11,4.5397,4.62518,4.5397,4.57497
UNP,1980-08-12,4.59039,4.72186,4.59039,4.65976
UNP,1980-08-13,4.65976,4.65976,4.59776,4.60985
UNP,1980-08-14,4.60985,4.65976,4.59039,4.63224
UNP,1980-08-15,4.65976,4.72921,4.65976,4.70604
UNP,1980-08-18,4.69444,4.69444,4.60985,4.62518
UNP,1980-08-19,4.62518,4.63224,4.56298,4.59039
UNP,1980-08-20,4.59039,4.60985,4.5397,4.60985
UNP,1980-08-21,4.60985,4.68305,4.59039,4.68305
UNP,1980-08-22,4.68305,4.75664,4.68305,4.70604
UNP,1980-08-25,4.70604,4.70604,4.60985,4.65976
UNP,1980-08-26,4.65976,4.74485,4.63224,4.70604
UNP,1980-08-27,4.68305,4.68305,4.55149,4.57497
UNP,1980-08-28,4.57497,4.57497,4.49371,4.49371
UNP,1980-08-29,4.50491,4.62518,4.50491,4.59039
UNP,1980-09-02,4.59039,4.78002,4.52819,4.70604
UNP,1980-09-03,4.70604,4.72921,4.65976,4.72921
UNP,1980-09-04,4.72921,4.78002,4.60985,4.64787
UNP,1980-09-05,4.64787,4.67135,4.62518,4.67135
UNP,1980-09-08,4.64787,4.64787,4.56298,4.56298
UNP,1980-09-09,4.56298,4.60985,4.49371,4.60985
UNP,1980-09-10,4.60985,4.63224,4.56298,4.63224
UNP,1980-09-11,4.63224,4.63224,4.52819,4.56298
UNP,1980-09-12,4.56298,4.59039,4.55149,4.56298
UNP,1980-09-15,4.56298,4.70604,4.5168,4.69444
UNP,1980-09-16,4.76449,5.11279,4.76449,4.99253
UNP,1980-09-17,5.05463,5.32925,5.05463,5.32925
UNP,1980-09-18,5.32925,5.44557,5.31382,5.31382
UNP,1980-09-19,5.31382,5.36382,5.29426,5.29426
UNP,1980-09-22,5.29426,5.3991,5.23256,5.3991
UNP,1980-09-23,5.3991,5.77069,5.37581,5.62723
UNP,1980-09-24,5.62723,5.82835,5.60385,5.78238
