ticker,date,open,high,low,close
V,2008-03-18,10.0961,10.0961,10.0961,10.0961
V,2008-03-19,13.6561,15.8371,12.6192,12.9691
V,2008-03-20,13.4005,14.9166,13.1968,14.7695
V,2008-03-24,15.4285,15.5339,13.5397,13.7068
V,2008-03-25,13.9015,14.7455,13.7286,14.515
V,2008-03-26,14.3917,14.7982,14.1302,14.677
V,2008-03-27,14.6988,14.8569,14.3758,14.4324
V,2008-03-28,14.5438,14.5598,14.2654,14.3986
V,2008-03-31,14.3639,14.5686,14.2406,14.3112
V,2008-04-01,14.4693,14.6144,13.838,14.1392
V,2008-04-02,14.166,14.3012,13.8838,14.3012
V,2008-04-03,14.2167,15.2138,14.1879,15.0279
V,2008-04-04,14.8947,14.9852,14.6322,14.7982
V,2008-04-07,14.9365,15.0985,14.6909,14.9245
V,2008-04-08,14.8947,15.6572,14.8729,15.6234
V,2008-04-09,15.7059,15.7696,15.0548,15.0966
V,2008-04-10,15.184,15.3132,14.9385,15.1731
V,2008-04-11,14.9702,15.3232,14.9702,15.1731
V,2008-04-14,15.3082,15.4285,15.0349,15.0716
V,2008-04-15,15.2138,15.2735,14.6869,14.7695
V,2008-04-16,14.8162,15.3649,14.8162,15.1791
V,2008-04-17,15.2058,15.5469,15.1492,15.3858
V,2008-04-18,15.6045,16.1652,15.4205,15.8371
V,2008-04-21,15.9455,16.6354,15.8004,16.2845
V,2008-04-22,16.5052,16.6145,16.0608,16.1265
V,2008-04-23,16.2795,16.4564,15.9932,16.0798
V,2008-04-24,16.3392,16.7468,16.0698,16.5936
V,2008-04-25,17.4386,17.4575,16.9615,17.2339
V,2008-04-28,17.5559,17.7389,17.1891,17.3541
V,2008-04-29,17.0182,18.562,16.2915,18.562
V,2008-04-30,18.6792,19.4587,18.6067,19.1515
V,2008-05-01,19.3642,20.1088,19.2549,19.5988
V,2008-05-02,20.0282,20.078,18.5889,18.9895
V,2008-05-05,19.0132,19.6197,18.547,19.5164
V,2008-05-06,19.6128,20.2291,19.4457,20.0849
V,2008-05-07,20.3831,20.6178,20.1137,20.3096
V,2008-05-08,20.5392,20.5969,19.7241,20.0312
V,2008-05-09,19.6922,19.8881,18.9358,19.0152
V,2008-05-12,19.1992,19.3851,17.9227,18.7926
V,2008-05-13,18.7757,19.1635,18.5401,18.9029
V,2008-05-14,19.1167,19.3552,18.6912,18.8681
V,2008-05-15,18.9388,19.0312,18.6167,18.8731
V,2008-05-16,18.9795,19.0132,18.6484,18.901
V,2008-05-19,18.8781,19.4427,18.8503,19.1217
V,2008-05-20,19.0202,19.2419,18.7946,18.9865
V,2008-05-21,18.9725,19.1475,18.4785,18.554
V,2008-05-22,18.4904,18.4974,17.4764,17.7418
V,2008-05-23,17.4028,17.7418,17.2388,17.5201
V,2008-05-27,17.6514,18.1146,17.0669,18.0689
V,2008-05-28,18.4268,18.8035,18.2548,18.7966
V,2008-05-29,19.1475,19.9557,19.0501,19.5631
V,2008-05-30,19.74,20.0919,19.6922,19.8195
V,2008-06-02,19.7848,19.9557,19.4119,19.7519
V,2008-06-03,19.9687,20.1824,19.743,20.0919
V,2008-06-04,19.9835,20.2171,19.5701,19.6148
V,2008-06-05,19.8424,20.0164,19.6405,20.0164
V,2008-06-06,19.7141,19.7341,19.1763,19.1992
V,2008-06-09,19.2767,19.4914,18.4884,18.8473
V,2008-06-10,18.4298,19.0182,18.2678,18.4308
V,2008-06-11,18.5889,18.5889,17.8075,17.8392
V,2008-06-12,18.1166,18.5352,18.0251,18.2568
V,2008-06-13,18.4198,18.7717,18.393,18.7091
V,2008-06-16,18.6971,19.1635,18.6137,19.1098
V,2008-06-17,19.2986,19.4984,19.2062,19.4268
V,2008-06-18,19.2152,19.4338,19.1495,19.2469
V,2008-06-19,19.1595,19.3662,18.73,19.3354
V,2008-06-20,19.0401,19.3901,18.9895,19.1813
V,2008-06-23,19.2439,19.3552,18.5947,18.6037
V,2008-06-24,18.3721,19.0332,18.0162,18.9675
V,2008-06-25,19.1295,19.3712,18.7827,18.8294
V,2008-06-26,18.4974,18.5292,17.9049,18.1514
V,2008-06-27,18.0838,19.0182,18.0251,18.9537
